Inputs,,,Outputs,,
Fac1,Fac2,GRP,ToM,SOV,Spontan
0.733,-0.298,1562.17,0.12,0.0765,0.068
0.123,0.565,1856.25,0.1,0.0753,0.062
0.41,-0.304,2651.64,0.1,0.1138,0.079
0.485,-0.042,2636.41,0.08,0.1216,0.085
-0.11,0.322,1980.18,0.09,0.1264,0.091
0.024,-0.491,2911.96,0.05,0.1322,0.069
-0.184,0.446,1989.8,0.1,0.1253,0.058
0.104,-0.643,872.6,0.11,0.1013,0.059
0.424,-0.039,11,0.12,0.0007,0.083
0.407,-0.17,561.41,0.05,0.0261,0.066
0.495,-0.161,0,0.061,0,0.063
0.552,-0.202,1298.52,0.08,0.0586,0.069
0.962,0.358,602.81,0.127,0.037,0.105
0.697,0.183,2146.9,0.113,0.0945,0.065
0.505,0.813,3709.45,0.08,0.1503,0.063
-0.331,-0.159,1541.88,0.05,0.0895,0.089
1.016,0.142,1847.58,0.09,0.1369,0.098
0.695,0.29,1208.84,0.07,0.0931,0.07
0.466,0.221,1929.35,0.18,0.1439,0.096
1.072,0.618,4463.62,0.1,0.3028,0.099
1.104,0.933,1866.68,0.148,0.1507,0.061
-1.154,-1,1387.26,0,0.0679,0.025
-0.953,-1.198,1247.27,0.01,0.0506,0.033
-1.527,-1.468,1124.4,0.01,0.0483,0.007
-1.17,-0.168,317.7,0,0.0147,0.009
-1.346,-0.703,43.66,0.01,0.0028,0.014
-1.25,-1.056,131.51,0.01,0.006,0.016
-1.395,-1.263,651.25,0.01,0.041,0.017
-0.833,-1.475,709.22,0.01,0.0823,0.021
-0.728,-1.574,0,0.01,0,0.013
-1.445,-0.395,107.91,0,0.005,0.016
-0.619,-1.299,76.95,0,0.0046,0
-0.988,-0.956,0,0.01,0,0.008
-0.79,-1.07,469.03,0.007,0.0288,0.025
-0.876,-0.419,621.18,0.027,0.0273,0.007
-0.369,-0.611,807.27,0.01,0.0327,0.013
-1.298,-0.736,224.2,0.01,0.013,0.022
-0.675,-0.542,146.41,0,0.0109,0.029
-0.79,-0.632,256.77,0.01,0.0198,0.026
-0.638,-0.811,452.62,0,0.0338,0.023
-0.483,-0.86,435.45,0,0.0295,0.017
-0.739,-0.709,426.6,0.024,0.1507,0.055
-0.417,-0.563,3938.25,0.02,0.1929,0.082
-0.53,-1.14,3426.53,0.03,0.139,0.076
-0.864,-1.142,3659.93,0.03,0.1571,0.066
-0.333,-1.303,1924.34,0.07,0.0888,0.089
-1.022,-0.438,1027.9,0.02,0.0656,0.091
-1.157,-1.066,653.9,0.01,0.0297,0.063
-0.212,-1.006,687.13,0.06,0.0433,0.083
-0.39,-0.912,2410.21,0.09,0.2798,0.076
-0.075,-1.099,3218.84,0.02,0.1972,0.109
-0.101,-0.647,4125.06,0.02,0.1916,0.066
0.388,-1.043,4617.3,0,0.2769,0.087
0.286,-1.508,5350.61,0.06,0.2414,0.096
0.375,-0.573,2854.24,0.067,0.1751,0.085
0.205,-0.632,2635.84,0.033,0.116,0.092
0.305,-0.303,2181.67,0,0.0884,0.093
-0.927,-0.463,1761.07,0.05,0.1023,0.063
0.161,-0.68,1326.24,0.04,0.0983,0.102
0.327,-1.263,1893.14,0.07,0.1458,0.075
-0.102,0.043,1522.5,0.03,0.1135,0.091
0.186,0.006,1168.21,0.05,0.0792,0.077
0.412,0.246,2454.61,0.044,0.1982,0.051
-0.599,-0.445,2445.72,0.03,0.1198,0.011
-0.793,-0.555,1979.83,0.02,0.0803,0.025
-0.669,-0.398,1074.53,0.03,0.0461,0.016
-0.67,-0.925,1208.53,0.03,0.0557,0.022
-0.968,-0.899,584.4,0.02,0.0373,0.034
-1.107,-0.812,604.37,0.01,0.0274,0.009
-1.146,-0.942,164.85,0,0.0104,0.025
-0.835,-0.483,0,0,0,0.029
-0.877,-0.463,909.09,0.02,0.0557,0.022
-1.093,-0.534,2086.06,0.01,0.0969,0.013
-0.694,-0.417,771.3,0.01,0.0463,0.004
-0.574,-0.698,2620.79,0.01,0.1182,0.015
-0.939,-1.169,1807.48,0,0.1109,0.031
-0.056,-0.384,2184.77,0.02,0.0962,0.03
-0.391,0.307,1907.42,0,0.0773,0.013
-1.21,-0.365,1476.45,0.01,0.0857,0.038
-0.367,-0.277,432.28,0,0.032,0.024
-0.56,0.348,847.64,0.05,0.0653,0.026
-0.563,-0.184,196.31,0.02,0.0146,0.023
-0.402,-0.559,7.27,0,0.0005,0.033
-0.347,0.272,394.84,0.016,0.0319,0.036
0.304,-0.683,434.03,0.01,0.0213,0.022
0.608,-1.203,667.65,0.02,0.0271,0.051
-0.323,-0.645,1274.62,0.02,0.0547,0.036
0.226,-0.569,766.68,0.05,0.0354,0.018
0.192,-0.596,831.04,0.03,0.0531,0.048
-0.196,-1.736,555.91,0.01,0.0252,0.013
0.047,-0.96,61.39,0.03,0.0039,0.054
-0.186,-0.439,0,0.02,0,0.059
0.12,-1.052,831.33,0.02,0.0509,0.044
-0.687,-0.639,771.7,0.02,0.0358,0.02
0.181,-0.484,872.97,0.04,0.0524,0.024
0.008,-1.245,592.56,0.02,0.0267,0.012
0.636,0.081,1017.7,0.027,0.0624,0.029
-0.676,-0.429,1010.7,0.02,0.0445,0.027
0.139,-0.818,671.04,0.06,0.0272,0.03
-0.56,0.02,920.16,0.03,0.0534,0.038
0.449,-0.903,831.05,0.05,0.0616,0.059
-0.05,0.36,631.11,0.03,0.0486,0.066
0.014,-0.833,473.95,0.01,0.0353,0.037
0.136,-0.55,793.67,0.04,0.0476,0.025
1.657,1.665,180.27,0.076,0.0146,0.066
-0.018,-0.995,1375.26,0.03,0.0674,0.036
0.465,-1.389,1792.93,0.01,0.0727,0.036
-0.044,-0.795,716.26,0.02,0.0307,0.01
0.326,-1.436,737.82,0.01,0.034,0.027
0.26,-0.732,575.1,0.03,0.0367,0.029
0.412,-2.002,978.27,0.04,0.0444,0.028
0.408,-1.794,840.73,0.01,0.0529,0.029
0.084,-1.47,776.78,0.01,0.0902,0.034
0.289,-1.237,228.29,0.04,0.014,0.026
0.104,-0.973,739.38,0,0.0343,0.03
0.013,-1.293,1100.28,0,0.066,0.028
-0.031,-1.143,817.99,0,0.0369,0.023
0.126,-0.949,405.49,0,0.0249,0.02
0.238,-0.508,1075.16,0.04,0.0473,0.017
0.029,-0.312,891.14,0.01,0.0361,0.007
-0.186,-0.475,1061.19,0.01,0.0616,0.051
0.469,-0.16,829.95,0,0.0615,0.068
0.267,0.435,467.06,0.01,0.036,0.048
0.036,-0.682,339.26,0.01,0.0253,0.037
0.248,-0.711,998.33,0.03,0.0677,0.036
1.53,1.38,836.14,0.04,0.0675,0.066
2.763,-1.493,2337.87,0.14,0.1145,0.057
3.704,-0.397,4621.99,0.2,0.1875,0.065
2.925,-0.621,5740.09,0.22,0.2464,0.059
2.758,-0.71,5218,0.2,0.2407,0.049
2.746,-0.828,3927.89,0.21,0.2508,0.072
3.233,-1.077,3237.25,0.2,0.1469,0.056
3.496,-0.707,1931.51,0.18,0.1216,0.054
3.054,-0.699,288.23,0.23,0.0335,0.08
2.619,-1.036,4255.65,0.15,0.2607,0.057
1.66,-0.296,4144.7,0.2,0.1925,0.056
3.65,-1.552,1796.55,0.222,0.1077,0.067
3.444,-1.812,1772.66,0.24,0.08,0.077
3.34,-1.323,3987,0.133,0.2446,0.103
2.156,-0.021,5079.83,0.193,0.2236,0.09
3.176,-0.956,8746.59,0.14,0.3544,0.083
1.044,-0.063,4994.24,0.16,0.29,0.07
3.029,-0.531,2398.88,0.16,0.1778,0.083
2.255,-0.527,769.83,0.13,0.0593,0.048
2.112,0.59,316,0.14,0.0236,0.108
2.081,-0.889,718,0.21,0.0487,0.063
2.491,0.539,2149,0.096,0.1735,0.049
1.089,-0.1685,4373,,,
